PILOTEXPENSE,AIRCRAFT_FUEL,OTHER_EXPENSES,TOTAL_DIRECT_LESS_RENT,MAINTENANCE,DEPAND_RENTAL,TOTAL_DIRECT,FLIGHT_ATTENDANTS,TRAFFIC,DEPARTURE,CAPACITY,TOTAL_INDIRECT,TOTAL_OP_EXPENSE,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
,,,,,,,,,,1654.84,1654.84,13675.39,,,,9,9,999,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,4,1,2000,4
,,,,,,,,,,1742.01,1742.01,14120.79,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2003,4
,,,,,,,,,,1749.32,1749.32,7387.79,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2010,2
,,,,,,,,,,1761.31,1761.31,7903.47,,,,9,9,999,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,4,1,2009,2
,,,,,,,,,,1793.49,1793.49,12303.10,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1999,4
,,,,,,,,,,1963.80,1963.80,6258.29,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,1996,4
,,,,,,,,,,2047.36,2047.36,8759.46,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2004,2
,,,,,,,,,,2399.82,2399.82,25896.25,,,,9,9,999,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,4,1,1999,4
,,,,,,,,,,2463.31,2463.31,18974.16,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2005,4
,,,,,,,,,,2687.59,2687.59,18227.01,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2005,2
,,,,,,,,,,2794.00,2794.00,19655.00,,,,9,9,999,20190,9S,Southern Air Inc.,9S,Southern Air Inc.,06840,S,1,1,2001,2
,,,,,,,,,,2911.00,2911.00,28939.00,,,,9,9,999,,,,TCQ,,,S,,,2001,4
,,,,,,,,,,3578.84,3578.84,18290.11,,,,9,9,999,20093,CTQ,Custom Air Transport,CTQ,Custom Air Transport,06175,D,4,1,2004,4
,,,,,,,,,,3856.02,3856.02,20933.45,,,,9,9,999,20191,FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,06450,S,4,1,1994,2
,,,,,,,,,,4283.00,4283.00,25534.00,,,,9,9,999,20190,9S,Southern Air Inc.,9S,Southern Air Inc.,06840,S,1,1,2000,4
