YEAR,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,EMPFULL,EMPPART,EMPTOTAL,EMPFTE
2019,8,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,2,510,33,543,527
2019,8,21167,CP,Compass Airlines,CP,Compass Airlines,2,2,1624,0,1624,1624
2019,8,21352,0WQ,Avjet Corporation,0WQ,Avjet Corporation,1,1,89,0,89,89
2019,8,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",1,4,22,27,49,36
2019,8,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,1,169,0,169,169
2019,8,21518,1EQ,"KaiserAir, Inc.",1EQ,"KaiserAir, Inc.",1,4,39,29,68,54
2019,8,21577,1TQ,Rhoades Aviation dba Transair,1TQ,Rhoades Aviation dba Transair,1,4,133,56,189,161
2019,8,21629,KD,Western Global,KD,Western Global,2,2,430,3,433,432
2019,8,21634,KH,Aloha Air Cargo,KH,Aloha Air Cargo,2,2,382,62,444,413
2019,8,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",1,1,720,1,721,721
2019,8,21712,2HQ,Elite Airways LLC,2HQ,Elite Airways LLC,1,1,136,15,151,144
2019,8,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,1,4,65,0,65,65
2019,8,21854,34Q,"Polaris Aviation Solutions, LLC",34Q,"Polaris Aviation Solutions, LLC",1,4,27,15,42,35
2019,8,21875,37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",1,4,32,1,33,33
2019,8,21974,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",1,1,80,1,81,81
2019,9,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3,59453,2274,61727,60590
2019,9,19687,QX,Horizon Air,QX,Horizon Air,2,2,3377,833,4210,3794
2019,9,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,3,3,5925,1464,7389,6657
2019,9,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3,79512,10417,89929,84721
2019,9,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3,95069,11912,106981,101025
2019,9,19874,8C,Air Transport International,8C,Air Transport International,2,2,745,0,745,745
2019,9,19917,5X,United Parcel Service,5X,United Parcel Service,3,3,6047,120,6167,6107
2019,9,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,3,16026,1842,17868,16947
