CASH,NOTES_ACC_REC_NET,CURR_ASSETS_OTH,CURR_ASSETS,PROP_EQUIP_OWNED,DEPR_PROP_EQUIP,PROP_EQUIP_CAP_LS,AMORT_PR_EQ_CAP_LS,PROP_EQUIP,ASSETS_OTHER,ASSETS,NOTES_ACC_PAYABLE,ACCRUED_TAXES,CURR_LIAB_OTHER,CURR_LIABILITIES,LONG_TERM_DEBT,OTH_LIABILITIES,DEFERRED_CREDITS,PF_EQUITY,PF_SHARES_NUM,COM_EQUITY,COM_SHARES_NUM,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK,SH_HLD_EQUITY_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
73.76,0.00,2.19,75.95,9955.00,9189.75,0.00,0.00,765.25,2998.63,3839.83,114.50,-91.13,-76.53,-53.15,0.00,0.00,0.00,0.00,,1.00,,9.00,3882.98,3892.98,0.00,3892.98,3839.83,21577,1TQ,Rhoades Aviation dba Transair,1TQ,Rhoades Aviation dba Transair,81003,S,4,1,2019,2
73.99,2591.75,,2665.73,100.00,,,,100.00,350.00,3115.73,502.50,195.78,,698.29,779.60,,,,,,,783.47,854.38,1637.85,,1637.85,3115.73,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,2008,4
74.03,995.54,165.00,1234.56,401.13,21.08,,,380.05,,1614.61,1064.20,,126.95,1191.15,612.44,,,1242.74,,50.00,,78.03,-1559.74,1614.61,,-188.98,1614.61,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1991,4
74.80,,604.74,679.54,6324.57,2566.40,,,3758.17,,4437.72,,,890.70,890.70,,,,,,1.00,,,3546.02,3547.02,,3547.02,4437.72,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2005,4
77.99,2053.75,5768.66,7900.40,4636.65,3708.79,,,927.86,2009.46,10837.72,4259.31,,1580.42,5839.73,2067.95,,,1585.00,-1.59,0.10,-0.10,1933.65,-588.71,2930.04,,2930.04,10837.72,19677,BFQ,Buffalo Airways Inc.,BFQ,Buffalo Airways Inc.,06136,S,1,1,1994,2
78.54,2777.69,,2856.23,100.00,,,,100.00,350.00,3306.23,894.56,385.83,,1280.40,739.85,,,,,,,387.56,898.42,1285.98,,1285.98,3306.23,20203,FCQ,Falcon Air Express,FCQ,Falcon Air Express,06399,S,4,1,2009,2
78.58,,50.72,129.30,,,,,,252.50,381.80,92.82,13.91,,106.73,,,,250.00,,,,25.07,,275.07,,275.07,381.80,19981,PAQ,Patriot Airlines Inc.,PAQ,Patriot Airlines Inc.,06754,S,1,1,1992,2
80.41,188.31,,268.72,,,,,,,268.72,,,,,453.80,,,,,,,,-185.09,-185.09,,-185.09,268.72,,,,CRQ,,,S,,,1991,2
80.71,1955.17,773.11,2808.99,2225.00,1730.58,,,494.42,,3303.41,838.49,55.18,62.04,955.71,292.45,100.53,,1257.71,,90.00,,538.03,68.99,1954.73,,1954.73,3303.41,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1997,2
80.82,,,80.82,,,,,,128.11,208.94,,,,,,40.92,80.82,,,,,,87.19,87.19,,87.19,208.94,20305,PCQ,Pace Airlines,PCQ,Pace Airlines,06764,S,4,1,1996,4
85.80,960.88,612.73,1659.40,913.70,,,520.18,393.52,,2052.92,494.05,-33.93,331.71,791.83,175.82,221.37,,903.23,,50.00,,78.03,-167.35,863.90,,863.90,2052.92,19812,LBQ,Millon Air Inc.,LBQ,Millon Air Inc.,06701,S,1,1,1994,2
86.11,4874.93,1963.08,6924.12,909.16,419.46,,,489.70,2693.11,10106.93,11206.16,,17451.94,28658.10,,,3730.05,,,9504.15,,,-31785.37,-22281.22,,-22281.22,10106.93,20308,WE,Centurion Cargo Inc.,WE,Centurion Cargo Inc.,16180,L,4,1,2003,2
86.79,518.60,293.60,898.99,2017.05,972.79,,,1044.26,73.63,2016.89,392.45,24.07,139.77,556.30,371.36,,,,,0.50,,34.80,1053.93,1089.23,,1089.23,2016.89,19658,TKQ,Trans-Air-Link Corporation,TKQ,Trans-Air-Link Corporation,06889,S,4,1,1991,4
87.13,2006.61,625.17,2718.91,56379.69,48601.86,,,7777.82,2288.29,12785.02,3395.28,342.05,7.52,3744.84,4155.48,,2055.00,,,45.00,,,2784.70,2829.70,,2829.70,12785.02,20379,ZKQ,Zantop International,ZKQ,Zantop International,09790,D,4,1,2004,2
87.50,,217.11,304.61,6255.80,4419.15,,,1836.65,,2141.26,,,6252.69,6252.69,,,,,,1.00,-1.00,,-4112.43,-4112.43,,-4111.43,2141.26,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06815,S,4,1,2020,2
87.98,403.75,280.27,772.00,292.69,88.52,,,204.17,1074.57,2050.74,3611.92,,179.76,3791.68,912.50,171.79,,,,0.30,,2025.10,-4829.78,-2804.39,20.83,-2825.22,2050.74,20125,PNQ,Panagra Airways,PNQ,Panagra Airways,06767,S,1,1,1998,4
88.25,2417.93,721.30,3227.48,18163.60,10813.65,,,7349.95,502.84,11080.26,3705.16,23.21,1366.68,5095.05,5958.66,1603.26,,,,1000.00,,,-2576.71,-1576.71,,-1576.71,11080.26,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06069,S,4,1,2008,4
88.35,0.00,1.62,89.97,9715.00,8531.17,0.00,0.00,1183.83,4837.99,6111.79,87.51,13.00,0.00,100.51,0.00,0.00,0.00,0.00,,1.00,,0.00,6010.28,6011.28,0.00,6011.28,6111.79,21577,1TQ,Rhoades Aviation dba Transair,1TQ,Rhoades Aviation dba Transair,81003,S,4,1,2017,4
