NET_INCOME,OP_PROFIT,OP_REVENUE_SCH_PAX,OP_REVENUE_SCH_OTH,OP_REVENUE_NON_SCH,OP_REVENUE_PUB_SVC,OP_REVENUE_OTHER,OP_REVENUE,OP_EXPENSE_FLYING,OP_EXPENSE_MAINT,OP_EXPENSE_ADMIN,DEPR_PR_EQ_OWNED,DEPR_PR_EQ_LEASED,TRANS_EXPENSE,OP_EXPENSE,NON_OP_INT_EXP,NON_OP_EXP_OTH,TAX,EXTRA_ITEMS,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-677.46,-679.17,,,1671.80,,,1671.80,1396.25,448.12,476.71,29.88,,,2350.97,,1.70,,,20368,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1,1,1999,2
-676.92,-192.51,837.90,,6244.18,,11.24,7093.32,2541.40,2174.97,2097.15,472.32,,,7285.83,-517.65,33.24,,,20106,SM,Sunworld International Airlines,SM,Sunworld International Airlines,06852,S,4,1,1999,4
-673.61,-673.61,,,4755.91,,,4755.91,2071.38,1491.89,170.55,1251.64,444.06,,5429.52,,,,,20201,AMQ,Ameristar Air Cargo,AMQ,Ameristar Air Cargo,06055,D,4,1,2006,4
-666.79,320.90,,,12735.95,,,12735.95,6601.26,3653.23,1376.82,783.74,,,12415.05,-1028.47,40.78,,,20400,PT (1),Capital Cargo International,CCQ,Capital Cargo International,06164,S,4,1,1999,2
-664.83,-672.34,,,10868.18,,4097.24,14965.42,6459.59,4717.03,2539.63,214.61,,1706.90,15637.76,7.51,,,,20195,WI,Sky Lease Cargo,WI,Tradewinds Airlines,06884,D,4,1,1998,2
-658.37,-716.36,,,7160.45,,,7160.45,3542.74,2555.71,1097.18,223.36,457.82,,7876.81,-15.82,73.82,,,20421,SLQ,Sky King Inc.,SLQ,Sky King Inc.,06039,D,1,1,2008,2
-653.50,-734.59,0.00,0.00,30868.96,0.00,0.00,30868.96,16705.82,2190.47,12463.75,243.51,0.00,0.00,31603.55,-56.39,-20.74,-258.22,-100.00,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,06564,S,4,1,2010,4
-646.54,-212.68,,,3303.14,,71.62,3374.76,2904.82,83.84,578.40,20.38,,,3587.44,,-420.83,,-13.03,20074,REQ,Renown Aviation,REQ,Renown Aviation,06771,S,1,1,1995,4
-645.43,-634.91,2481.47,,,,,2481.47,1257.66,620.37,790.78,447.56,,,3116.38,-16.94,,-6.42,,20106,SM,Sunworld International Airlines,SM,Sunworld International Airlines,06853,D,4,1,2003,4
-632.93,-663.71,4451.00,,,,21.40,4472.40,2044.31,891.46,1309.84,890.51,,,5136.12,,30.79,,,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,Casino Express,06143,S,4,1,1992,2
