CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
2326.60,627.86,,4230.92,88.67,4142.24,1160.79,330.84,2720.13,11308.47,255.00,,,255.00,3442.65,9386.51,9375.35,3453.81,,,927.32,,,4381.13,459.08,459.08,,,,280.80,280.80,16225.40,584.78,539.41,,867.71,,,360.92,125.63,,359.58,,186.48,667.83,3692.35,,,,,,,,,,,,,200.00,,200.00,,200.00,12333.05,12533.05,,12533.05,16225.40,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,06721,D,1,1,1997,3
2327.92,,,8443.55,275.89,8167.66,61027.44,949.37,,72472.39,-102700.53,2863.51,,-99837.02,1831340.81,129072.54,269385.96,1691027.39,155.00,88999.04,11395.92,192781.24,138275.71,1846082.88,38828.14,32828.14,6000.00,,,1226910.53,1226910.53,3051628.78,94899.54,,,109497.38,3075.54,23558.74,2932.00,11875.66,31198.68,12844.17,,,55282.23,345163.94,2622786.64,,,99938.41,3232.63,2725957.67,-49756.76,,19870.06,-29886.70,,,1.00,,1.00,200397.47,200398.47,-190004.60,10393.87,,10393.87,3051628.78,20398,MQ,Envoy Air,MQ,American Eagle Airlines Inc.,06820,D,3,3,2002,2
2328.92,9181.41,,1201.40,,1201.40,3640.90,2703.15,,19055.78,,,,,8656.61,2201.81,681.79,10176.63,,,589.89,13651.72,3250.72,21167.53,,,,,,13576.43,13576.43,53799.74,14826.17,,,4476.63,,1111.52,799.76,561.01,,7431.24,,,5501.52,34707.84,,,,8981.98,,8981.98,,,1402.00,1402.00,,,1.00,,1.00,,1.00,8706.92,8707.92,,8707.92,53799.74,20414,OW,Executive Airlines,NA,Executive Airlines,06196,D,2,2,1992,2
2335.49,,,12543.24,713.98,11829.26,,633.39,,14798.14,-260.00,,357.52,97.52,4534.99,1652.85,5483.30,704.55,,,,,,704.55,,,,,,5045.68,5045.68,20645.90,,,,18079.72,4859.75,,339.70,361.60,,139.72,,,99.89,23880.38,5850.00,,,,,5850.00,,,,,,,0.10,,0.10,13781.44,13781.54,-22866.02,-9084.49,,-9084.49,20645.90,20194,JW,Arrow Air Inc.,JW,Arrow Air Inc.,06061,D,1,1,1996,3
2337.97,,,7069.30,,7069.30,1137.59,2649.71,9322.56,22517.12,,,,,6248.47,6473.50,10292.46,2429.51,,,,0.00,0.00,2429.51,,,0.00,2798.75,,,2798.75,27745.38,,,,256.41,9551.34,,,,,,,,9322.56,19130.31,,,,,2420.26,2420.26,,,,,1.00,,1003.75,,1004.75,,1004.75,5190.06,6194.81,,6194.81,27745.38,20402,GL,Miami Air International,GL,Miami Air International,06690,D,2,2,2013,1
2343.54,,,7661.79,270.61,7391.18,63083.52,1415.36,,74233.60,-96632.83,3242.15,,-93390.68,1686634.71,128218.24,251593.50,1563259.45,155.00,83912.18,9841.96,231609.38,167660.60,1721117.37,,,,,,1226934.11,1226934.11,2928894.41,134316.72,,,117381.42,2159.50,23022.79,5135.14,11641.98,9707.24,28825.65,,,59899.12,392089.56,2451679.17,,,106997.57,3612.63,2562289.37,-64277.01,,20187.35,-44089.66,,,1.00,,1.00,200397.47,200398.47,-181793.32,18605.14,,18605.14,2928894.41,20398,MQ,Envoy Air,MQ,American Eagle Airlines Inc.,06820,D,3,3,2002,1
2343.67,,,2586.65,,2586.65,8803.09,1473.13,,15206.54,,,,,12192.80,4289.20,5133.24,11348.76,,,450.53,16212.72,6923.16,21088.85,,,,,,14356.43,14356.43,50651.81,,,,10801.60,,1341.97,444.09,893.96,,883.70,,,8987.20,23352.51,15200.00,,,5807.49,,21007.49,0.25,,1449.71,1449.96,,,1.00,,1.00,7100.00,7101.00,-2259.15,4841.85,,4841.85,50651.81,20414,OW,Executive Airlines,NA,Executive Airlines,06196,D,2,2,1994,4
2348.04,2331.67,,10864.78,100.00,10764.78,,8792.96,3608.56,27846.01,,,,,154874.96,11057.72,32955.90,132976.79,,,,,,132976.79,,,,,,11673.24,11673.24,172496.03,6429.29,,,16663.98,,8052.43,5925.42,,,,,30738.54,13051.93,80861.59,85113.85,,,,,85113.85,,,1480.32,1480.32,,,2.04,,2.04,4990.97,4993.01,47.26,5040.27,,5040.27,172496.03,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,2,2,2000,2
2350.63,,,991.11,0.91,990.20,1854.27,645.58,,5840.67,,,,,242.80,109.87,127.66,225.01,,,,,,225.01,,,,,23.52,,23.52,6089.20,,,,829.67,,,373.11,,,,,,187.38,1390.16,,,,,,,,,,,,,1.00,,1.00,,1.00,4698.04,4699.04,,4699.04,6089.20,19874,8C,Air Transport International,8C,Air Transport International,06029,D,2,2,1992,2
2351.09,266.98,,16806.53,,16806.53,342.33,2793.83,,22560.75,,,,,998.42,2086.45,548.39,2536.47,,,267.09,,,2803.56,,,,,,3156.05,3156.05,28520.36,,4365.00,,7058.80,,,473.78,876.41,,2789.69,,10242.31,606.67,26412.65,,,,,311.45,311.45,,,,,,,,,,13736.70,13736.70,-11940.45,1796.25,,1796.25,28520.36,20422,SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines,06795,D,1,1,2003,2
