YEAR,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ENTITY,GENERAL_MANAGE,PILOTS_COPILOTS,OTHER_FLT_PERS,PASS_GEN_SVC_ADMIN,MAINTENANCE,ARCFT_TRAF_HANDLING_GRP1,GEN_ARCFT_TRAF_HANDLING,AIRCRAFT_CONTROL,PASSENGER_HANDLING,CARGO_HANDLING,TRAINEES_INTRUCTOR,STATISTICAL,TRAFFIC_SOLICITERS,OTHER,TRANSPORT_RELATED,TOTAL
2008,19917,5X,United Parcel Service,5X,United Parcel Service,P,0,616,2,0,406,0,44,23,0,0,35,144,6,26,0,1302
2008,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,D,11,1246,0,2132,665,0,60,124,2351,783,178,329,110,823,0,8812
2008,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,L,1,115,0,197,62,0,6,12,218,73,16,30,10,76,0,816
2008,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,A,2,322,0,699,46,0,6,5,599,0,3,55,69,2,0,1808
2008,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,D,44,5483,0,11518,6221,0,849,157,19475,0,98,1603,270,615,0,46333
2008,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,L,1,151,0,244,73,0,10,3,475,0,2,29,27,0,0,1015
2008,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,P,4,381,0,753,150,0,20,7,917,0,4,63,79,2,0,2380
2008,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,D,17,71,25,0,22,0,0,3,0,12,3,3,1,6,0,164
2008,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,I,108,457,162,0,144,0,0,17,0,79,21,23,7,37,0,1055
2008,20017,CS,Continental Micronesia,CS,Continental Micronesia,P,0,0,0,299,99,0,0,6,333,41,0,48,0,374,0,1200
