AIR_OP_EXPENSE,FL_ATT_EXPENSE,FOOD_EXPENSE,OTH_IN_FL_EXPENSE,PAX_SVC_EXPENSE,LINE_SVC_EXPENSE,CONTROL_EXPENSE,LANDING_FEES,AIR_SVC_EXPENSE,TRAFFIC_EXP_PAX,TRAFFIC_EXP_CARGO,TRAFFIC_EXP_OTH,TRAFFIC_EXPENSE,RES_EXP_PAX,RES_EXP_CARGO,RES_EXP_OTH,RES_EXPENSE,AD_EXP_PAX,AD_EXP_CARGO,AD_EXP_INST,AD_EXPENSE,ADMIN_EXPENSE,DEPR_EXP_MAINT,AMORTIZATION,TRANSPORT_EXP,TOTAL_OP_EXPENSE,MAINT_PROP_EQUIP,DEPR_PROP_EQUIP,MAINT_DEPR,SVC_SALES_OP_EXP,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
2343.91,459.75,113.30,185.89,758.94,102.24,50.74,92.95,245.93,249.74,89.38,264.88,603.99,191.01,0.01,137.28,328.29,,,88.72,88.72,402.67,1.64,4.33,95.14,5052.20,122.08,56.56,178.63,2613.14,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2,2,2003,3
2410.00,30.00,8.00,5.00,43.00,77.00,217.00,32.00,326.00,2.00,,,2.00,143.00,37.00,13.00,193.00,,,1.00,1.00,232.00,1.00,,17.00,3229.00,,4.00,4.00,802.00,20095,WO (1),World Airways Inc.,WO,World Airways Inc.,06930,D,2,2,2003,3
2413.88,110.48,96.02,45.41,251.92,14.16,9.92,66.14,90.21,102.75,8.82,212.17,323.75,833.40,-0.14,-43.92,789.34,31.60,,576.10,607.70,127.51,1.25,11.92,,4667.51,23.52,26.52,50.04,2253.63,19991,HP,America West Airlines Inc.,HP,America West Airlines Inc.,16048,L,3,3,1992,3
2529.00,78.00,21.00,15.00,114.00,49.00,196.00,36.00,281.00,1.00,,,1.00,219.00,1.00,8.00,228.00,,,1.00,1.00,212.00,,,20.00,3390.00,,4.00,4.00,841.00,20095,WO (1),World Airways Inc.,WO,World Airways Inc.,06930,D,2,2,2005,2
2584.00,,,,,34.00,95.00,76.00,205.00,,97.00,,97.00,,,6.00,6.00,,,,,304.00,1.00,3.00,,3362.00,144.00,17.00,161.00,777.00,19917,5X,United Parcel Service,5X,United Parcel Service,16912,L,3,3,1992,3
2609.10,97.36,0.15,17.37,114.88,172.40,11.11,177.44,360.95,26.09,12.26,328.16,366.51,,,,,,,0.11,0.11,283.54,2.78,,,3804.91,53.76,13.29,67.05,1195.81,20398,MQ,Envoy Air,MQ,American Eagle Airlines Inc.,16820,L,3,3,2009,2
2614.84,95.42,-0.12,67.38,162.68,0.00,0.00,0.29,0.29,7.82,0.00,39.66,47.48,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.88,158.07,0.00,2.73,0.00,3006.27,0.00,19.30,19.30,391.42,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2020,2
2621.82,78.01,0.12,37.36,115.48,314.10,9.71,175.49,499.30,296.32,,,296.32,,,2.33,2.33,0.42,,,0.42,374.05,3.11,,,3927.20,,14.37,14.37,1305.38,20398,MQ,Envoy Air,MQ,American Eagle Airlines Inc.,16820,L,3,3,2009,1
2627.00,11.00,4.00,3.00,18.00,33.00,139.00,19.00,191.00,,,,,172.00,3.00,1.00,176.00,,,,,146.00,,,34.00,3196.00,,4.00,4.00,535.00,20095,WO (1),World Airways Inc.,WO,World Airways Inc.,06930,D,2,2,2006,1
2641.33,218.12,2.90,42.40,263.42,330.97,20.18,1.65,352.80,10.67,3.01,262.23,275.91,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,485.05,1.13,0.00,0.00,4124.72,91.36,13.28,104.64,1483.38,20398,MQ,Envoy Air,MQ,American Eagle Airlines Inc.,16820,L,3,3,2012,1
