YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
1990,2,5,19790.0,DL,DL,Delta Air Lines Inc.,3,0.0,146714040.0,146714040.0,12895578.0,3959245.0,4332925.0,21187748.0,167901788.0,0.0,207777.0,207777.0,0.0,0.0,0.0,0.0,0.0,88818.5,146921817.0,225964.0,168109565.0,0.0,85333733.0,85333733.0,7077424.0,2738553.0,2547957.0,12363934.0,97697667.0,0.0,111784.0,111784.0,0.0,0.0,0.0,0.0,0.0,111784.0,85445517.0,12363934.0,97809451.0
1990,2,5,19805.0,AA,AA,American Airlines Inc.,3,0.0,174645658.0,174645658.0,17319149.0,2376994.0,7811756.0,27507899.0,202153557.0,0.0,450013.0,450013.0,0.0,0.0,0.0,0.0,0.0,88818.5,175095671.0,225964.0,202603570.0,0.0,101247623.0,101247623.0,10543745.0,1555031.0,4992785.0,17091561.0,118339184.0,0.0,267645.0,267645.0,0.0,0.0,0.0,0.0,0.0,267645.0,101515268.0,17091561.0,118606829.0
1990,2,5,19977.0,UA,UA,United Air Lines Inc.,3,0.0,142258044.0,142258044.0,884879.0,45274336.0,745562.0,46904777.0,189162821.0,0.0,68664.0,68664.0,0.0,0.0,0.0,0.0,0.0,88818.5,142326708.0,225964.0,189231485.0,0.0,84199392.0,84199392.0,505001.0,29309434.0,454771.0,30269206.0,114468598.0,0.0,41246.0,41246.0,0.0,0.0,0.0,0.0,0.0,41246.0,84240638.0,30269206.0,114509844.0
1990,2,6,19393.0,WN,WN,Southwest Airlines Co.,3,0.0,24489165.0,24489165.0,0.0,0.0,0.0,0.0,24489165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88818.5,24489165.0,225964.0,24489165.0,0.0,14051796.0,14051796.0,0.0,0.0,0.0,0.0,14051796.0,0.0,48635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14051796.0,0.0,14051796.0
1990,2,6,19690.0,HA,HA,Hawaiian Airlines Inc.,2,0.0,6230764.0,6230764.0,0.0,1530087.0,0.0,1530087.0,7760851.0,0.0,183435.0,183435.0,176956.0,213702.0,0.0,196971.0,587629.0,88818.5,6414199.0,225964.0,8531915.0,0.0,3952111.0,3952111.0,0.0,1069352.0,0.0,1069352.0,5021463.0,0.0,109954.0,109954.0,122031.0,154229.0,0.0,113258.0,389518.0,499472.0,4062065.0,1458870.0,5520935.0
1990,2,6,19790.0,DL,DL,Delta Air Lines Inc.,3,0.0,147082426.0,147082426.0,13564120.0,3970354.0,4142293.0,21676767.0,168759193.0,0.0,202540.0,202540.0,0.0,0.0,0.0,0.0,0.0,88818.5,147284966.0,225964.0,168961733.0,0.0,79723743.0,79723743.0,7341968.0,2680757.0,2300043.0,12322768.0,92046511.0,0.0,95599.0,95599.0,0.0,0.0,0.0,0.0,0.0,95599.0,79819342.0,12322768.0,92142110.0
1990,2,6,19805.0,AA,AA,American Airlines Inc.,3,0.0,171725912.0,171725912.0,17599508.0,2420342.0,8295162.0,28315012.0,200040924.0,0.0,376415.0,376415.0,0.0,0.0,0.0,0.0,0.0,88818.5,172102327.0,225964.0,200417339.0,0.0,97321066.0,97321066.0,10545952.0,1553779.0,5125769.0,17225500.0,114546566.0,0.0,214893.0,214893.0,0.0,0.0,0.0,0.0,0.0,214893.0,97535959.0,17225500.0,114761459.0
1990,2,6,19977.0,UA,UA,United Air Lines Inc.,3,0.0,145859280.0,145859280.0,1584649.0,45823679.0,589819.0,47998147.0,193857427.0,0.0,69528.0,69528.0,0.0,0.0,0.0,0.0,0.0,88818.5,145928808.0,225964.0,193926955.0,0.0,81858733.0,81858733.0,816500.0,28772029.0,358960.0,29947489.0,111806222.0,0.0,40132.0,40132.0,0.0,0.0,0.0,0.0,0.0,40132.0,81898865.0,29947489.0,111846354.0
1990,3,7,19393.0,WN,WN,Southwest Airlines Co.,3,0.0,27366885.0,27366885.0,0.0,0.0,0.0,0.0,27366885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88818.5,27366885.0,225964.0,27366885.0,0.0,15865790.0,15865790.0,0.0,0.0,0.0,0.0,15865790.0,0.0,48635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15865790.0,0.0,15865790.0
1990,3,7,19690.0,HA,HA,Hawaiian Airlines Inc.,2,0.0,6675967.0,6675967.0,0.0,1491027.0,0.0,1491027.0,8166994.0,0.0,464284.0,464284.0,391333.0,106914.0,0.0,521034.0,1019281.0,88818.5,7140251.0,225964.0,9650559.0,0.0,3847678.0,3847678.0,0.0,953868.0,0.0,953868.0,4801546.0,0.0,267621.0,267621.0,248983.0,67618.0,0.0,324187.0,640788.0,908409.0,4115299.0,1594656.0,5709955.0
