PILOTEXPENSE,AIRCRAFT_FUEL,OTHER_EXPENSES,TOTAL_DIRECT_LESS_RENT,MAINTENANCE,DEPAND_RENTAL,TOTAL_DIRECT,FLIGHT_ATTENDANTS,TRAFFIC,DEPARTURE,CAPACITY,TOTAL_INDIRECT,TOTAL_OP_EXPENSE,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,403.14,1159.21,2413.53,3199.68,7175.56,13861.19,0.23,0.11,115.645,9,9,999,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1994,2
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,406.22,148.06,800.3,1360.79,2715.36,8536.69,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1999,4
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,520.65,148.57,1433.88,3729.34,5832.44,13946.97,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2002,4
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,558.16,1466.57,4563.61,3994.01,10582.35,19438.74,0.23,0.11,115.645,9,9,999,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1994,4
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,708.08,206.77,2094.23,5468.3,8477.37,18935.45,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2003,2
221.66,194.74,68.82,668.79,338.18,193.45,1441.89,1284.44,456.12,4357.49,9583.06,15681.11,33798.23,0.23,0.11,115.645,9,9,999,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2003,4
32.63,75.63,32.94,141.19,96.94,91.65,329.78,260.67,303.2,556.81,923.95,1742.61,8252.64,0.23,0.11,115.645,1,6,635,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2001,2
41.0,132.29,4.23,177.52,119.6,90.0,387.12,260.67,303.2,556.81,923.95,1742.61,8252.64,0.12,0.02,123.12,1,6,655,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2002,4
75.97,166.29,290.49,532.75,466.97,415.33,1415.04,260.67,303.2,556.81,923.95,1742.61,8252.64,0.23,0.11,115.645,1,6,635,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1998,4
135.62,551.14,149.78,836.54,572.54,364.55,1773.63,260.67,303.2,556.81,923.95,1742.61,8252.64,0.23,0.11,115.645,1,6,635,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2000,2
158.94,347.36,334.24,840.54,448.12,430.21,1718.87,260.67,303.2,556.81,923.95,1742.61,8252.64,0.23,0.11,115.645,1,6,635,20368.0,G4,Allegiant Air,GLQ,Allegiant Air,06035,D,1.0,1.0,1999,2
201.28,1035.06,195.58,1431.91,602.84,526.21,2560.96,260.67,303.2,556.81,923.95,1742.61,8252.64,0.23,0.11,115.645,1,6,635,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2000,4
207.73,581.5,21.41,810.64,605.91,685.92,2102.47,260.67,303.2,556.81,923.95,1742.61,8252.64,0.59,0.12,541.18,1,6,635,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2002,4
213.16,314.41,210.08,737.66,615.53,179.02,1532.21,260.67,303.2,556.81,923.95,1742.61,8252.64,0.23,0.11,115.645,1,6,635,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2001,4
214.67,622.03,204.8,1041.5,444.17,410.18,1895.85,260.67,303.2,556.81,923.95,1742.61,8252.64,0.23,0.11,115.645,1,6,635,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,4.0,1.0,2002,2
218.64,683.56,465.66,1367.87,599.62,806.05,2773.55,260.67,303.2,556.81,923.95,1742.61,8252.64,0.23,0.11,115.645,1,6,619,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,1.0,1.0,1995,4
226.01,1440.0,81.86,1747.87,414.0,270.0,2431.87,260.67,303.2,556.81,923.95,1742.61,8252.64,0.68,0.18,716.41,1,6,654,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,1.0,1.0,2005,3
