SALARIES_MGT,SALARIES_FLIGHT,SALARIES_MAINT,SALARIES_TRAFFIC,SALARIES_OTHER,SALARIES,BENEFITS_PERSONNEL,BENEFITS_PENSIONS,BENEFITS_PAYROLL,BENEFITS,SALARIES_BENEFITS,AIRCRAFT_FUEL,MAINT_MATERIAL,FOOD,OTHER_MATERIALS,MATERIALS_TOTAL,ADVERTISING,COMMUNICATION,INSURANCE,OUTSIDE_EQUIP,COMMISIONS_PAX,COMMISSIONS_CARGO,OTHER_SERVICES,SERVICES_TOTAL,LANDING_FEES,RENTALS,DEPRECIATION,AMORTIZATION,OTHER,TRANS_EXPENSE,OP_EXPENSE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
28.05,57428.74,11419.02,2963.04,9723.64,81562.49,7969.46,25699.36,6729.21,40398.04,121960.52,99682.11,14782.51,1770.63,2550.63,118785.88,8944.15,2301.46,1348.44,3860.45,0.0,0.0,23729.3,40183.79,14187.75,3503.63,31437.63,3140.52,11420.11,0.0,344619.82,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,3.0,3.0,2019,1
28.09,4262.99,1264.59,627.39,1891.68,8074.74,981.39,1593.93,589.37,3164.68,11239.42,6726.6,1031.69,1320.06,360.63,9438.97,1379.26,159.45,96.22,441.63,9075.01,3.0,2816.85,13971.41,997.44,415.46,3065.43,236.06,733.7,1797.29,41895.17,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3.0,3.0,1990,3
29.0,6168.0,920.0,11821.0,3846.0,22784.0,1417.0,3110.0,1451.0,5978.0,28762.0,9896.0,531.0,4842.0,1018.0,16287.0,2421.0,1618.0,170.0,173.0,34547.0,446.0,4950.0,44325.0,1545.0,1224.0,6457.0,1582.0,1205.0,529.0,101916.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1992,1
29.28,64746.38,9930.02,2263.7,12279.63,89249.0,4915.75,16281.66,7458.75,28656.16,117905.16,82846.82,16868.02,1462.91,2156.58,103334.33,4514.08,2908.61,2094.57,3821.34,0.0,0.0,14140.77,27479.37,16990.75,8541.58,40317.77,2290.47,21657.75,0.0,338517.16,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,3.0,3.0,2021,1
30.0,8776.0,589.0,12045.0,3986.0,25426.0,1725.0,2801.0,1437.0,5963.0,31389.0,12014.0,537.0,4076.0,899.0,17526.0,2882.0,2108.0,187.0,214.0,34981.0,216.0,4714.0,45302.0,1807.0,1795.0,6846.0,2209.0,563.0,249.0,107686.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1991,4
30.0,109341.0,16454.0,36911.0,33952.0,196688.0,15083.0,48495.0,14675.0,78253.0,274941.0,394879.0,20312.0,19296.0,10647.0,445134.0,7907.0,14749.0,3750.0,18352.0,10956.0,-19.0,93783.0,149478.0,13771.0,40387.0,56994.0,11120.0,-13646.0,232644.0,1210823.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10261,A,3.0,3.0,2009,2
30.26,48584.71,11506.05,3048.03,9725.71,72894.75,9457.16,27257.93,6040.34,42755.44,115650.18,119984.34,13163.37,1766.9,2527.25,137441.86,7783.14,2390.91,1421.66,1622.5,0.0,0.0,21304.24,34522.46,17976.53,3355.05,33266.59,2957.42,21068.22,0.0,366238.32,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,3.0,3.0,2019,2
30.36,46691.49,11950.35,3178.9,10459.7,72310.8,10212.51,22939.87,5087.84,38240.21,110551.01,104581.78,15696.47,1479.83,2148.1,123906.19,6642.09,2260.05,1399.13,2057.71,0.0,0.0,18748.15,31107.13,16730.23,3050.24,34942.5,2800.47,23868.71,0.0,346956.48,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,3.0,3.0,2019,3
30.49,4993.37,1510.0,690.53,1977.12,9201.52,1212.14,2092.03,744.55,4048.71,13250.23,11254.52,1143.22,1271.85,306.62,13976.2,2613.29,141.66,193.03,1175.78,8781.18,25.41,3510.84,16441.19,721.19,791.11,3492.97,250.27,341.97,2555.28,51820.41,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3.0,3.0,1990,4
31.35,41080.07,9669.19,2202.74,5765.3,58748.64,4173.1,15923.82,-5177.04,14919.88,73668.52,53114.17,10026.94,1107.21,2109.47,66357.78,4291.5,2564.84,1496.35,931.57,0.0,0.0,10098.7,19382.96,14492.38,8030.85,41256.7,2160.04,36259.43,0.0,261608.66,20368.0,G4,Allegiant Air,G4,Allegiant Air,06035,D,3.0,3.0,2020,4
