NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
2831.0,4980.0,53656.0,403.0,2744.0,2488.0,256.0,78.0,78.0,165.995,1330.565,9.12,66.0,0.0,1051.0,57998.0,17270.0,5581.0,3323.0,10945.0,9428.0,1703.0,228.6,3476.0,1292.0,53018.0,-1106.0,-39.0,0.0,151.0,0.0,577.0,-417.0,4563.0,1732.0,2831.0,0.0,0.0,0.0,273.195,0.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,1994,3
2844.58,2964.87,29393.66,126.65,8719.24,5350.0,80.0,2179.33,2179.33,165.995,781.96,9.12,781.96,0.0,1553.415,32354.95,12028.44,6560.17,5541.96,9718.29,2571.035,5230.655000000001,9712.64,1088.83,476.845,29390.08,-340.51,220.22,0.0,0.0,0.0,1.98,-120.29,2844.58,4.87,2844.58,0.0,0.0,0.0,2844.58,0.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,1.0,1.0,1998,2
2850.63,1041.51,15349.98,141.66,505.34,504.31,1.03,3343.6400000000003,618.9749999999999,165.995,144.01,9.12,144.01,0.0,43.82,16184.79,7467.75,1547.14,1336.09,1846.76,716.1,1257.28,228.6,912.8,59.35,15143.28,-338.5,-32.08,0.0,-8.66,0.0,546.92,167.67,1209.18,-1641.45,2850.63,0.0,0.0,0.0,2850.63,0.0,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2.0,2.0,2007,4
2856.4,4742.41,12959.0,0.0,8719.24,75.11,761.87,3343.6400000000003,1075.87,0.0,1330.565,146.64,752.73,0.0,0.0,15771.22,3922.75,730.7,663.43,2891.27,1152.42,1409.5,0.0,258.75,0.0,11028.81,-40.72,-11.08,0.0,0.0,0.0,0.0,-51.8,4690.62,1834.22,2856.4,0.0,0.0,0.0,273.195,0.0,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3.0,3.0,2012,2
2873.0,269.0,25898.0,90.0,4239.0,4190.0,49.0,3343.6400000000003,618.9749999999999,165.995,-541.0,97.0,-638.0,0.0,6508.0,36194.0,12581.0,2930.0,3402.0,5955.0,2689.0,2157.0,228.6,3597.0,2614.0,35925.0,-1972.0,-2.0,83.0,1043.0,0.0,2406.0,1558.0,1827.0,-1046.0,2873.0,0.0,0.0,0.0,2873.0,0.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10262,P,3.0,3.0,2004,4
2873.64,2521.15,6526.01,726.82,246.27,221.25,25.01,-1.31,-1.31,165.995,56.6,9.12,56.6,0.0,18.96,7573.35,1950.19,511.16,758.94,849.92,417.01,402.67,228.6,67.17,95.14,5052.2,-486.07,0.0,0.0,0.0,0.0,-2.02,-2.02,2519.13,-354.51,2873.64,0.0,0.0,0.0,2873.64,0.0,19690.0,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,15375,P,2.0,2.0,2003,3
2910.0,27111.0,708287.0,10051.0,89795.0,88596.0,1199.0,3343.6400000000003,618.9749999999999,165.995,3610.0,39.0,3571.0,0.0,62350.0,874093.0,290877.0,77312.0,133087.0,95681.0,158149.0,22631.0,228.6,45753.0,23492.0,846982.0,-6146.0,60.0,-1389.0,-63.0,0.0,-14947.0,-22485.0,4626.0,1716.0,2910.0,0.0,0.0,0.0,2910.0,0.0,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3.0,3.0,2000,3
2943.0,5479.0,30270.0,153.0,2976.0,2917.0,59.0,3343.6400000000003,618.9749999999999,165.995,-656.0,117.0,-773.0,0.0,9048.0,41791.0,11503.0,3096.0,3895.0,6378.0,3196.0,2501.0,228.6,2740.0,3003.0,36312.0,-2039.0,8.0,28.0,33.0,0.0,-730.0,-2700.0,2779.0,-164.0,2943.0,0.0,0.0,0.0,2943.0,0.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10262,P,3.0,3.0,2004,3
2960.0,14467.0,310079.0,6090.0,32029.0,31379.0,650.0,3343.6400000000003,618.9749999999999,165.995,2283.0,14.0,2269.0,0.0,25861.0,376342.0,100631.0,27443.0,51384.0,61933.0,66747.0,25196.0,228.6,20477.0,8064.0,361875.0,-22752.0,6116.0,6.0,14.0,0.0,6752.0,-9864.0,4603.0,1643.0,2960.0,0.0,0.0,0.0,2960.0,0.0,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3.0,3.0,1998,1
2991.24,4907.84,8232.0,0.0,8719.24,0.0,1063.32,3343.6400000000003,27334.85,0.0,1330.565,199.03,50.56,0.0,216.28,37096.04,20816.97,1243.61,1098.75,6404.38,1222.18,1000.11,0.0,402.2,0.0,32188.19,-49.41,5.06,0.0,0.0,0.0,0.0,-44.36,4863.49,1872.25,2991.24,0.0,0.0,0.0,273.195,0.0,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3.0,3.0,2014,2
3006.54,5289.27,20339.72,0.0,8719.24,0.0,6621.34,3343.6400000000003,0.0,0.0,1330.565,629.76,8189.78,0.0,77.16,35857.77,14743.68,2517.87,1858.56,2528.51,1453.11,5745.29,0.0,1721.48,0.0,30568.5,0.0,-463.96,-7.5,0.0,0.0,0.0,-471.46,4817.81,1811.28,3006.54,0.0,0.0,0.0,273.195,0.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3.0,3.0,2016,4
3018.72,10481.57,174978.48,946.2,8719.24,8366.42,1187.96,3343.6400000000003,0.0,0.0,1330.565,105.66,955.49,0.0,15490.33,202030.54,81527.83,25266.08,17408.74,28396.37,10471.29,14947.02,228.6,10419.38,3112.26,191548.97,-7069.45,-656.64,399.11,-112.73,0.0,-23.26,-7462.96,3018.61,-0.12,3018.72,0.0,0.0,0.0,3018.72,0.0,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3.0,3.0,2011,2
3070.0,4806.0,72820.0,277.0,5247.0,4963.0,284.0,3343.6400000000003,618.9749999999999,165.995,1330.565,9.12,290.0,0.0,1170.0,79804.0,12653.0,1678.0,8224.0,19641.0,27116.0,1187.0,228.6,4335.0,164.0,74998.0,-345.0,167.0,0.0,0.0,-8.0,31.0,-155.0,4651.0,1581.0,3070.0,0.0,0.0,0.0,273.195,0.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1991,3
3127.0,5680.0,30770.0,126.65,3719.0,5350.0,3719.0,3343.6400000000003,618.9749999999999,165.995,4334.0,1285.0,3049.0,0.0,292.0,39115.0,20059.0,2348.0,1649.0,5112.0,2022.0,1852.0,228.6,393.0,476.845,33435.0,-2254.0,71.0,-13.0,0.0,0.0,-300.0,-2496.0,3184.0,57.0,3127.0,0.0,0.0,0.0,3127.0,0.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2009,3
3180.02,4094.32,70204.1,1032.34,856.07,735.2,120.87,150.19,150.19,165.995,1308.93,845.27,463.67,0.0,422.28,73973.91,30258.47,10710.34,2023.77,11956.8,10205.58,3894.87,228.6,780.73,49.03,69879.59,-8.06,1134.33,0.0,0.0,0.0,-70.44,1055.83,5150.16,1970.14,3180.02,0.0,0.0,0.0,3180.02,0.0,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,2.0,2.0,1999,4
3219.0,4835.0,53346.0,0.0,8719.24,510.0,402.0,3343.6400000000003,116.0,0.0,1330.565,82.0,1725.0,0.0,207.0,56388.0,25331.0,5232.0,3452.0,8385.0,2780.0,3444.0,228.6,2738.0,191.0,51553.0,-388.0,4.0,0.0,25.0,0.0,729.0,370.0,5205.0,1986.0,3219.0,0.0,0.0,0.0,3219.0,0.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3.0,3.0,2013,3
3230.0,9061.0,150342.0,757.0,13919.0,13639.0,280.0,3203.0,3203.0,165.995,1330.565,8.0,708.0,0.0,9543.0,178480.0,48480.0,11664.0,21447.0,22154.0,36664.0,15167.0,228.6,8252.0,5591.0,169419.0,-5280.0,205.0,381.0,76.0,0.0,990.0,-3628.0,5433.0,2203.0,3230.0,0.0,0.0,0.0,273.195,0.0,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3.0,3.0,1994,4
3231.0,6329.0,101148.0,1691.0,17844.0,17507.0,337.0,3343.6400000000003,618.9749999999999,165.995,369.0,9.12,369.0,0.0,16417.0,137469.0,36226.0,6301.0,20888.0,18140.0,27214.0,11282.0,228.6,8928.0,2161.0,131140.0,-1133.0,1166.0,0.0,-32.0,0.0,-271.0,-270.0,6059.0,2828.0,3231.0,0.0,0.0,0.0,3231.0,0.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,2000,4
3241.68,6170.76,230112.16,0.0,8719.24,0.0,19526.75,3343.6400000000003,544.04,0.0,1330.565,4265.23,687.13,0.0,6585.43,261720.75,145868.47,12835.08,12000.44,43214.19,18765.73,17927.24,0.0,4938.85,0.0,255550.0,-731.38,-169.09,0.0,0.0,0.0,0.0,-900.47,5270.29,2028.61,3241.68,0.0,0.0,0.0,273.195,0.0,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,3.0,3.0,2014,1
3261.91,5286.26,9214.61,0.0,8719.24,44.19,430.31,3343.6400000000003,61.09,0.0,1330.565,96.12,154.05,0.0,283.98,10284.35,1155.2,350.28,231.67,1315.95,656.5,439.02,0.0,104.74,744.73,4998.09,-14.21,-10.9,0.0,0.0,0.0,0.0,-25.11,5261.15,1999.24,3261.91,0.0,0.0,0.0,273.195,0.0,20436.0,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,16461,L,3.0,3.0,2011,3
3318.0,4745.0,130410.0,262.0,6528.0,6268.0,260.0,3343.6400000000003,618.9749999999999,165.995,-2691.0,756.0,-3447.0,0.0,15783.0,150292.0,46212.0,12350.0,14028.0,23434.0,12656.0,9095.0,228.6,11993.0,15779.0,145547.0,-7034.0,-45.0,-137.0,25.0,0.0,1316.0,-5875.0,-1130.0,-4448.0,3318.0,0.0,0.0,0.0,3318.0,0.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,2003,3
3340.0,5644.0,58671.0,1247.0,14441.0,14255.0,186.0,3343.6400000000003,618.9749999999999,165.995,1330.565,9.12,103.0,0.0,3761.0,78223.0,13203.0,4063.0,10880.0,8893.0,23818.0,2210.0,228.6,8821.0,691.0,72579.0,-474.0,32.0,0.0,-24.0,0.0,-40.0,-506.0,5138.0,1798.0,3340.0,0.0,0.0,0.0,273.195,0.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1994,1
3349.0,5525.0,69105.0,1329.0,10766.0,10624.0,142.0,3343.6400000000003,618.9749999999999,165.995,283.0,9.12,283.0,0.0,11131.0,92614.0,19242.0,7309.0,13201.0,9571.0,17808.0,3543.0,228.6,7700.0,8715.0,87089.0,-210.0,150.0,0.0,49.0,0.0,-34.0,-45.0,5480.0,2131.0,3349.0,0.0,0.0,0.0,3349.0,0.0,19805.0,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3.0,3.0,1998,2
3364.0,17079.0,675725.0,5009.0,82859.0,81786.0,1073.0,1047.0,1047.0,165.995,1330.565,66.0,1305.0,0.0,27184.0,793195.0,192719.0,63398.0,90522.0,62340.0,295830.0,23355.0,228.6,29410.0,18542.0,776116.0,-15766.0,3696.0,-3107.0,1010.0,0.0,2456.0,-11711.0,5368.0,2004.0,3364.0,0.0,0.0,0.0,273.195,0.0,19977.0,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3.0,3.0,1992,2
3382.68,5361.36,25277.78,0.0,8719.24,0.0,4856.76,3343.6400000000003,0.0,0.0,1330.565,971.67,7250.79,0.0,265.75,38622.75,21329.0,1799.01,1423.97,4517.8,2025.11,1922.03,0.0,244.47,0.0,33261.39,-52.72,97.29,-9.93,0.0,0.0,0.0,34.64,5396.0,2013.32,3382.68,0.0,0.0,0.0,273.195,0.0,20416.0,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,2.0,2.0,2011,4
3450.0,6440.0,47817.0,0.0,8719.24,467.0,186.0,3343.6400000000003,100.0,0.0,1330.565,23.0,1533.0,0.0,167.0,50293.0,20808.0,4227.0,3118.0,7207.0,2470.0,3334.0,228.6,2498.0,191.0,43853.0,-322.0,56.0,0.0,-12.0,0.0,-659.0,-937.0,5503.0,2053.0,3450.0,0.0,0.0,0.0,3450.0,0.0,19393.0,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11033,L,3.0,3.0,2014,3
3510.0,15120.0,83424.0,235.0,8270.0,8136.0,134.0,3343.6400000000003,618.9749999999999,165.995,25.0,9.12,25.0,0.0,1519.0,93473.0,23899.0,8980.0,10223.0,14984.0,9733.0,4810.0,228.6,4635.0,1089.0,78353.0,-2277.0,185.0,-196.0,-1724.0,0.0,-404.0,-4416.0,10704.0,4853.0,5851.0,0.0,0.0,0.0,5851.0,-2341.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10262,P,3.0,3.0,2000,3
3593.0,6204.0,58993.0,564.0,2866.0,2351.0,515.0,265.0,265.0,165.995,1330.565,9.12,27.0,0.0,469.0,63184.0,17497.0,5039.0,6592.0,12469.0,10395.0,1839.0,228.6,3051.0,98.0,56980.0,-981.0,129.0,0.0,-2.0,0.0,277.0,-577.0,5627.0,2034.0,3593.0,0.0,0.0,0.0,273.195,0.0,19790.0,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3.0,3.0,1992,2
